release_decade,main_genre,intensity_weighted_mean,intensity_weighted_median,intensity_weighted_std,energy_mean,loudness_mean,track_id_count
1960s,Other,0.5868,0.5883,0.1586,0.445,-12.035,8625
1970s,Other,0.6381,0.6466,0.1668,0.5275,-11.755,7680
1980s,Other,0.6912,0.7131,0.1709,0.6081,-11.0561,6803
1990s,Other,0.6925,0.7194,0.1793,0.6014,-10.2467,5417
2000s,Classical,0.4237,0.3464,0.2282,0.2569,-19.5567,8149
2000s,Country,0.6559,0.6586,0.1658,0.5301,-9.3352,13551
2000s,Electronic,0.79,0.8142,0.1227,0.7523,-9.2047,36473
2000s,Hip-Hop,0.7842,0.7919,0.0971,0.7108,-6.3497,5260
2000s,Jazz,0.6684,0.6804,0.1707,0.5543,-9.6299,13893
2000s,Latin,0.7805,0.8018,0.109,0.7113,-6.9402,6965
2000s,Other,0.6941,0.731,0.2019,0.5994,-9.8311,270754
2000s,Pop,0.7339,0.7456,0.1483,0.6443,-7.8966,35528
2000s,R&B,0.6834,0.6877,0.1211,0.5593,-7.8166,3212
2000s,Rock,0.8258,0.8828,0.1463,0.7848,-6.7565,55452
2010s,Classical,0.3958,0.3243,0.2158,0.2213,-20.5442,7446
2010s,Country,0.6841,0.7045,0.1634,0.567,-8.4214,14905
2010s,Electronic,0.7926,0.8094,0.1171,0.7426,-7.9394,45472
2010s,Hip-Hop,0.7501,0.7546,0.1044,0.6587,-6.7698,7529
2010s,Jazz,0.6787,0.7002,0.1794,0.5692,-9.4309,15216
2010s,Latin,0.7996,0.8204,0.1054,0.7379,-6.4728,7652
2010s,Other,0.7142,0.7602,0.2005,0.6252,-9.1452,319961
2010s,Pop,0.7413,0.7564,0.1463,0.6482,-7.14,36709
2010s,R&B,0.6787,0.6835,0.1213,0.555,-8.1411,3972
2010s,Rock,0.8353,0.8914,0.1416,0.797,-6.4353,61933
2020s,Classical,0.3111,0.2721,0.1389,0.1159,-23.7587,2664
2020s,Country,0.6788,0.697,0.1566,0.556,-8.2132,5593
2020s,Electronic,0.8184,0.8413,0.108,0.7822,-7.647,18294
2020s,Hip-Hop,0.7331,0.7343,0.0966,0.6323,-6.9383,2909
2020s,Jazz,0.6301,0.6379,0.1852,0.5,-10.4789,6483
2020s,Latin,0.7984,0.8179,0.1035,0.7381,-6.6719,2871
2020s,Other,0.6947,0.7412,0.2106,0.5995,-9.7468,121753
2020s,Pop,0.7303,0.7433,0.1414,0.6316,-7.3026,13845
2020s,R&B,0.678,0.6796,0.1178,0.5539,-8.1501,1790
2020s,Rock,0.8243,0.8787,0.1432,0.7836,-6.8746,24361
